SKU,Name,Category,Daily Rate,Weekly Rate,Spec Sheet URL
DR11,Heron 100' Interface Probe,Environmental Testing Equipment,50,150,https://heroninstruments.com/wp-content/uploads/2024/04/A-825-1602-001-Rev-1-H.OIL_Brochure-2024.pdf
DR2,TSI VelociCalc Meter,Environmental Testing Equipment,40,125,
DR3,Mini Rae 3000 PID,Environmental Testing Equipment,75,225,
DR4,QREA 3 (4-Gas Monitor),Environmental Testing Equipment,50,150,
DR22,BW Clip Gas Detector,Environmental Testing Equipment,25,75,
DR10,Horiba U-52 Water Quality Meter,Water Quality & Monitoring,120,360,
DR17,YSI 55 DO Meter,Water Quality & Monitoring,40,100,
DR24,pH/Temperature Meter,Water Quality & Monitoring,20,60,
DR18,Heron 500' Water Level,Water Quality & Monitoring,75,225,https://heroninstruments.com/wp-content/uploads/2024/04/A-825-1602-001-Rev-1-H.OIL_Brochure-2024.pdf
DR21,Level Loggers,Water Quality & Monitoring,150,450,
DR9,Complete Low Flow Sampling Kit,Groundwater Sampling Equipment,325,975,
DR7,QED Low Flow Bladder Pump,Groundwater Sampling Equipment,80,240,
DR6,QED MP 10 Low Flow Controller,Groundwater Sampling Equipment,80,240,
DR5,Puma 3 Gallon DC Air Compressor,Groundwater Sampling Equipment,35,75,
DR11,SS Mega-Monsoon Pump,Groundwater Sampling Equipment,110,330,
DR19,Pegasus Peristaltic Pump,Groundwater Sampling Equipment,75,225,
DR20,Waterra Hydrolift with Valve,Groundwater Sampling Equipment,170,510,
DR14,Yamaha Viking UTV,Field Equipment & Vehicles,250,750,
DR23,Steiner 450 Rough Cut Mower,Field Equipment & Vehicles,500,1500,
DR15,Stihl Chainsaw,Field Equipment & Vehicles,50,150,
DR16,Stihl Multi-Tool,Field Equipment & Vehicles,50,150,
DR13,Utility Trailer (6'×12' 3500 lbs),Trailers & Transport,60,180,
DR25,"Equipment Trailer (16'×82"" 7000 lbs)",Trailers & Transport,70,210,
DR26,Heavy Equipment Trailer (14000 lbs),Trailers & Transport,150,400,
DR27,Dump Trailer (14000 lbs),Trailers & Transport,150,400,
DR12,CO2 Tank with Regulator (5 lb),Specialty Items,40,,
DRS1,Polyethylene Bladder,Disposable Supplies,15,,
DRS2,SS Grab Plates,Disposable Supplies,10,,
DRS3,".17"" ID × 1/4"" OD LDPE Tubing",Disposable Supplies,0.3,,
DRS4,"1/4"" Bonded Tubing (500' roll)",Disposable Supplies,0.9,,
DRS5,"3/8"" ID × 1/2"" OD LPDE Tubing",Disposable Supplies,0.35,,
DRS7,"1.5""×36"" Poly Bailer SW",Disposable Supplies,7,,
DRS12,".75""×36"" PVC Bailers",Disposable Supplies,7,,
DRS54,"3.5""×36"" PVC Bailers",Disposable Supplies,24,,
DRS13,Paracord 250' Spool,Disposable Supplies,24,,
DRS15,Liquinox Quart,Disposable Supplies,25.5,,
DRS16,1 Gallon Zip Lock Bags (Box of 250),Disposable Supplies,40,,
DRS58,Quart Zip Lock Bags (Box of 500),Disposable Supplies,48,,
DRS17,2 Gallon Zip Lock Bags (Box of 100),Disposable Supplies,40,,
DRS26,.45 Micron Filter,Disposable Supplies,20,,
DRS38,"3/8"" ID × 1/2"" OD HDPE Tubing",Disposable Supplies,0.5,,
DRS41,5lbs CO2 Tank,Disposable Supplies,40,,
DRS43,"1/4"" ID × 3/8"" OD LDPE Tubing",Disposable Supplies,0.3,,
DRS44,"1/4"" ID × .438"" OD Silicone Tubing",Disposable Supplies,1.8,,
DRS45,"3/8"" ID × 5/8"" OD Silicone Tubing",Disposable Supplies,2.7,,
DRS48,".81"" ID × 1"" OD HDPE Tubing",Disposable Supplies,1.25,,
DRS49,"1/2"" ID × 5/8"" OD LDPE Tubing",Disposable Supplies,0.45,,
DRS50,"1/2"" ID × 5/8"" OD HDPE Tubing",Disposable Supplies,0.7,,
DRS51,"1/4"" ID × 3/8"" HDPE Tubing",Disposable Supplies,0.45,,
DRS52,".17"" ID × 1/4"" OD HDPE Tubing",Disposable Supplies,0.35,,
DRS53,".17"" ID Teflon Tubing (100' roll)",Disposable Supplies,170,,
DRS55,Nitrile Gloves - Large (5 mil box),Disposable Supplies,14,,
DRS56,Nitrile Gloves - XL (5 mil box),Disposable Supplies,14,,
DRS57,Nitrile Gloves - XXL (5 mil box),Disposable Supplies,18,,
